Name,Wiki Name,Party,Wiki search,Wiki Output
Ahlawat  Santosh,Santosh Ahlawat,Bharatiya Janata Party,Santosh Ahlawat Bharatiya Janata Party,"Santosh Ahlawat (born 6 July 1963) is an Indian politician. She was member of Lok Sabha, from 2014 to 2019, from Jhunjhunu, and former member of Rajasthan Legislative Assembly elected in 2013 from Surajgarh as a candidate of Bharatiya Janata Party.
Born in 1965 in Surajgarh, she is married to Surendra Singh Ahlawat. she completed her master's degree in Political Science and Economics from University of Rajasthan and worked in the education field. Later she joined politics. On 16 May 2014 she became a member of Parliament, and was the first-ever female MP from Jhunjhunu, after a record victory of more than 2.34 lac votes.
She started her career as a teacher, and over the years she did tremendous work in field of education, and made the town Surajgarh an educational hub. She serves the society now in the fields of education, politics and social services."
Ahluwalia  Shri S.S.,S.S. Ahluwalia,Bharatiya Janata Party,S.S. Ahluwalia Bharatiya Janata Party,"Surinderjeet Singh Ahluwalia (born 4 July 1951) is an Indian politician of the Bharatiya Janata Party (BJP).
A former Union Minister of State in the Government of India, he is the member of Parliament of India representing Bardhaman-Durgapur Lok Sabha constituency in West Bengal in the 17th Lok Sabha (2019-2024). Previously he was a Member of Parliament representing Bihar and Jharkhand in the Rajya Sabha, the upper house of the Indian Parliament, over several terms, 1986–1992, 1992–1998 (as a member of Congress), and with BJP in 2000–2006, and 2006–2012. He subsequently entered the Lok Sabha,  winning the 2014 Lok Sabha Elections from Darjeeling.
He was earlier a member of the Indian National Congress. He was elected to the Rajya Sabha from Bihar in 1986 as a Congress member. Over the years of his career, he has held the posts of Minister for Urban Development, and Minister of Parliamentary Affairs in the Union Government headed by P. V. Narasimha Rao. He joined BJP in 1999.
He was Deputy Leader of the Opposition in the Rajya Sabha till 2012 when he lost his Rajya Sabha seat in the Jharkhand Rajya Sabha elections. He is at present a Member of the National Executive Committee of the BJP."
Ahmad  Shri Akbar,Akbar Ahmad,Bahujan Samaj Party,Akbar Ahmad Bahujan Samaj Party,"Akbar Ahmad Dumpy (born 30 June 1948) is an Indian politician and was member of the 12th and 14th Lok Sabha (1998–99)  from Azamgarh Constituency in Uttar Pradesh state in India.

"
Ahmad  Shri Ateeq,Ateeq Ahmad,Samajwadi Party,Ateeq Ahmad Samajwadi Party,"Atique Ahmed (born 10 August 1962) is an Indian politician who is also known as a criminal leader and history sheeter. He was elected as member of legislative assembly from Allahabad west seat for 5 consecutive time which is still a record. In 2004–2009, he was elected as an Samajwadi Party candidate of the 14th Lok Sabha from the Phulpur in Uttar Pradesh.  From 1999-2003 he was the president of the Apna Dal, founded by Sone Lal Patel.
According to his affidavit in 2014 elections, he has declared that there are now no cases pending against him.  The most sensational murder was that of BSP MLA Raju Pal, who had defeated Atique's brother Ashraf in the 2004 Uttar Pradesh state legislature elections.Ahmed has fought several elections from jail, lodged under various charges. On 15 December 2016, he was arrested once again for assaulting staff of the Sam Higginbottom University of Agriculture, Technology and Sciences."
Ahmad  Shri Daud,Daud Ahmad,Bahujan Samaj Party,Daud Ahmad Bahujan Samaj Party,"Mohammed Daud Daud (Persian: محمد داود داود) (January 1969 – 28 May 2011), also known as General Daud Daud, an ethnic Tajik, was the police chief in northern Afghanistan and the commander of the 303 Pamir Corps. He was an opponent of the Afghan Taliban.
Daud studied engineering in college. After graduating from college in the 1991, he defected from the Afghan Army and joined the forces of Ahmad Shah Massoud against the Soviet invasion of Afghanistan. After the retreat of Soviet troops and the defeat of the Afghan communist regime, Daud remained in Takhar province of Afghanistan. Ahmad Shah Massoud had ordered him to guard northern areas and to keep his forces out of the capital Kabul. When the Taliban took power in Kabul, Daud served as a leading military commander of the anti-Taliban United Front under the command of Ahmad Shah Massoud, which later spearheaded the defeat of the Taliban. In October 2001, Daud was directly responsible for retaking the city of Kunduz from an Al Qaeda-Taliban alliance.
After the fall of the Taliban regime, he was appointed a Deputy Interior Minister for Counter Narcotics in Afghanistan. His campaign against opium poppy cultivation was successful in several provinces, including Ogar, Ghazni, Wardak, Paktia, Paktika and Panjshir.In 2010 he was appointed police chief of Afghanistan's northern provinces, overseeing Interior Ministry forces and directly commanding his own police elite force called Pamir 303. An opponent of the Taliban, Daud was assassinated on May 28, 2011 in a Taliban and Islamic Movement of Uzbekistan (IMU) bomb attack in Taloqan, Afghanistan."
Ahmad  Shri Ghyasuddin,Ghyasuddin Ahmad,Congress,Ghyasuddin Ahmad Congress,#N/A
Ahmad  Dr. Imteyaz,Dr. Imteyaz Ahmad,Congress,Dr. Imteyaz Ahmad Congress,"Imteyaz Ahmad (born 1 March 1912, died 12 December 1998) was an Indian politician who served as member of 4th Lok Sabha from Giridih Lok Sabha Constituency. He was associated with Indian National Congress.

"
Ahmad  Shri Mohammad Asrar,Mohammad Asrar Ahmad,Congress (I),Mohammad Asrar Ahmad Congress (I),"Ahmad Ghazālī (Persian: احمد غزالی; full name Majd al-Dīn Abū al-Fotuḥ Aḥmad Ghazālī) was a Sunni Muslim Persian Sufi mystic, writer, preacher and the head of Al-Nizamiyya of Baghdad (c. 1061–1123 or 1126). He is best known in the history of Islam for his ideas on love and the meaning of love, expressed primarily in the book Sawāneḥ.  Ahmad Ghazali was among the Sunni Muslim mystics who regarded Iblis as the paragon of lovers in self sacrifice for refusing to bow down to Adam out of pure devotion to God"
Ahmad  Dr. Sarfaraz,Dr. Sarfaraz Ahmad,Congress (I),Dr. Sarfaraz Ahmad Congress (I),#N/A
Ahmad  Dr. Shakeel,Dr. Shakeel Ahmad,Indian National Congress,Dr. Shakeel Ahmad Indian National Congress,Shakeel Ahmad (born 2 January 1956) was a member of the 12th and 14th Lok Sabha of India. He was a general secretary of the Indian National Congress (INC).
Ahmad  Dr. Shakeel,Dr. Shakeel Ahmad,Indian National Congress,Dr. Shakeel Ahmad Indian National Congress,Shakeel Ahmad (born 2 January 1956) was a member of the 12th and 14th Lok Sabha of India. He was a general secretary of the Indian National Congress (INC).
Ahmed  Begam Abida,Begam Abida Ahmed,Congress (I),Begam Abida Ahmed Congress (I),#N/A
Ahmed  Shri Fakhruddin Ali,Fakhruddin Ali Ahmed,Congress,Fakhruddin Ali Ahmed Congress,#N/A
Ahmed  Shri Halimuddin,Halimuddin Ahmed,Janata Party,Halimuddin Ahmed Janata Party,#N/A
Ahmed  Shri Jahan Uddin,Jahan Uddin Ahmed,Praja Socialist Party (PSP),Jahan Uddin Ahmed Praja Socialist Party (PSP),"Jahan Uddin Ahmed also known as Maulavi Jahan Uddin Ahmed
was an Indian politician of Praja Socialist Party and
Member of parliament elected during the 4th General elections in 1967. He contested elections from Dhubri Lok sabha constituency, Assam."
Ahmed  Shri Kamaluddin,Kamaluddin Ahmed,Indian National Congress,Kamaluddin Ahmed Indian National Congress,"Kamaluddin Ahmed (15 August 1930 – 1 September 2018) was an Indian politician. He was a leader of the Indian National Congress political party till 2000, when he left the party and joined the Bharatiya Janata Party. He was the union minister of state, civil supplies and public distribution and Minister of State, Commerce in Government of India from June 1991 to September 1994.
Born in Warangal in 1930, Ahmed studied at Osmania University. He was first elected to Lok Sabha in 1980 from Warangal constituency in Andhra Pradesh state. He was re-elected to the 9th, 10th and 11th Lok Sabha from Hanamkonda in Andhra Pradesh. He died on 1 September 2018 due to natural causes."
Ahmed  Mofida,Mofida Ahmed,Congress,Mofida Ahmed Congress,"Mofida Ahmed (1921-2008) was an Indian politician belonging to the Indian National Congress. She was Assam's first female Member of Parliament, Lok Sabha and also one of the few first Muslim women to be a Member of Parliament in India"
Ahmed  Shri Saifuddin,Saifuddin Ahmed,Asom Gana Parishad,Saifuddin Ahmed Asom Gana Parishad,"Saifuddin Ahmed (1927 – 27 September 2010) was a Bangladeshi actor. He acted in around 400 films and over 100 television plays. He won a Bangladesh National Film Award for Best Supporting Actor for his role in the film Sundori (1979).

"
Ahmed  Sajda,Sajda Ahmed,All India Trinamool Congress,Sajda Ahmed All India Trinamool Congress,#N/A
Ahmed Mohiuddin  Shri,Ahmed Mohiuddin,Congress,Ahmed Mohiuddin Congress,"Ahmed Mohiuddin (Urdu: احمد محی الدین) (8 January 1923 – 4 January 1998) was a noted scientist, scholar and researcher of Pakistan."
Ahuja  Shri Govinda Arun,Govinda Arun Ahuja,Indian National Congress,Govinda Arun Ahuja Indian National Congress,"Govind Arun Ahuja (born 21 December 1963), known mononymously as Govinda, is an Indian actor,  comedian, dancer, and former politician who is known for his work in Hindi-language films. 
Govinda is well known for his slapstick performances and dancing skills.  As such, Govinda has received 12 Filmfare Award nominations and won two Filmfare Special Awards and a Filmfare Award for Best Comedian. Govinda's first film was 1986's Ilzaam, and has appeared in over 165 Hindi films since. In June 1999, he was voted the tenth-greatest star of stage or screen in last thousand years by BBC News Online poll.Starting out as an action and dancing hero in the 1980s, his earlier box-office hits include Ilzaam (1986), Love 86 (1986), Hatya (1988), Jeete Hain Shaan Se (1988), Do Qaidi (1989), and Hum (1991). However, Govinda would go on to reinvent himself as a comedy hero in the 1990s after his role as a mischievous young NCC cadet in the 1992 romance Shola Aur Shabnam. Following his comedy debut, Govinda had lead roles in several commercially successful comedy films, including Aankhen (1993), Raja Babu (1994), Coolie No. 1 (1995), Andolan (1995), Hero No. 1 (1997), Deewana Mastana (1997), Dulhe Raja (1998), Bade Miyan Chote Miyan (1998), Anari No.1 (1999) and Jodi No. 1 (2001). He would also receive a Filmfare Award for Best Comedian for Haseena Maan Jayegi (1999) and a Filmfare Special Award for Saajan Chale Sasural (1996).
In the 2000 film Hadh Kar Di Aapne, he played six roles: Raju and his mother, father, sister, grandmother and grandfather. After a series of several unsuccessful films in the 2000s, his later commercial successes include Bhagam Bhag (2006),  Partner (2007), and Holiday (2014). In 2015, Govinda became a judge on Season 2 of Zee TV's dance-contest program, Dance India Dance Super Moms. The show received the highest TRP of any reality-show opening episode.Govinda was a member of the Parliament of India from 2004 to 2009. As part of the Indian National Congress, he was elected the 7th member of parliament for the Mumbai North constituency of Maharashtra, India in the 14th Lok Sabha elections in 2004, defeating Ram Naik of the Bharatiya Janata Party. He is currently working on a famous and popular Bengali show on Zee Bangla Dance Bangla Dance 2021, Season 11 as Judge which started airing on 22 May 2021."
Ahuja  Shri Subhash,Subhash Ahuja,Janata Party,Subhash Ahuja Janata Party,"Govind Arun Ahuja (born 21 December 1963), known mononymously as Govinda, is an Indian actor,  comedian, dancer, and former politician who is known for his work in Hindi-language films. 
Govinda is well known for his slapstick performances and dancing skills.  As such, Govinda has received 12 Filmfare Award nominations and won two Filmfare Special Awards and a Filmfare Award for Best Comedian. Govinda's first film was 1986's Ilzaam, and has appeared in over 165 Hindi films since. In June 1999, he was voted the tenth-greatest star of stage or screen in last thousand years by BBC News Online poll.Starting out as an action and dancing hero in the 1980s, his earlier box-office hits include Ilzaam (1986), Love 86 (1986), Hatya (1988), Jeete Hain Shaan Se (1988), Do Qaidi (1989), and Hum (1991). However, Govinda would go on to reinvent himself as a comedy hero in the 1990s after his role as a mischievous young NCC cadet in the 1992 romance Shola Aur Shabnam. Following his comedy debut, Govinda had lead roles in several commercially successful comedy films, including Aankhen (1993), Raja Babu (1994), Coolie No. 1 (1995), Andolan (1995), Hero No. 1 (1997), Deewana Mastana (1997), Dulhe Raja (1998), Bade Miyan Chote Miyan (1998), Anari No.1 (1999) and Jodi No. 1 (2001). He would also receive a Filmfare Award for Best Comedian for Haseena Maan Jayegi (1999) and a Filmfare Special Award for Saajan Chale Sasural (1996).
In the 2000 film Hadh Kar Di Aapne, he played six roles: Raju and his mother, father, sister, grandmother and grandfather. After a series of several unsuccessful films in the 2000s, his later commercial successes include Bhagam Bhag (2006),  Partner (2007), and Holiday (2014). In 2015, Govinda became a judge on Season 2 of Zee TV's dance-contest program, Dance India Dance Super Moms. The show received the highest TRP of any reality-show opening episode.Govinda was a member of the Parliament of India from 2004 to 2009. As part of the Indian National Congress, he was elected the 7th member of parliament for the Mumbai North constituency of Maharashtra, India in the 14th Lok Sabha elections in 2004, defeating Ram Naik of the Bharatiya Janata Party. He is currently working on a famous and popular Bengali show on Zee Bangla Dance Bangla Dance 2021, Season 11 as Judge which started airing on 22 May 2021."
